Andaman-and-Nicobar-Islands,Andaman and Nicobar
Andhra-Pradesh,Andhra Pradesh
Arunachal-Pradesh,Arunachal Pradesh 
Assam,Assam
Bihar,Bihar
Chandigarh,Chandigarh
Chhattisgarh,Chhattisgarh
Dadra-and-Nagar-Haveli,Dadra and Nagar Haveli
Daman-and-Diu,Daman and Diu
Delhi,Delhi
Goa,Goa
Gujarat,Gujarat
Haryana,Haryana
Himachal-Pradesh,Himachal Pradesh
Jammu-and-Kashmir,Jammu and Kashmir
Jharkhand,Jharkhand
Karnataka,Karnataka
Kerala,Kerala
Lakshadweep,Lakshadweep
Madhya-Pradesh,Madhya Pradesh
Maharashtra,Maharashtra
Manipur,Manipur
Meghalaya,Meghalaya
Mizoram,Mizoram
Nagaland,Nagaland
Orissa,Orissa
Puducherry,Puducherry
Punjab,Punjab
Rajastan,Rajastan
Sikkim,Sikkim
Tamil-Nadu,Tamil Nadu
Tripura,Tripura
Uttar-Pradesh,Uttar Pradesh
Uttarakhand,Uttaranchal
West-Bengal,West Bengal
Outside-LOC,Outside LOC
